exercise_name,muscle,GIF_link
Medicine ball rotational throw,Abs,https://fitnessprogramer.com/wp-content/uploads/2023/12/Medicine-Ball-Rotational-Throw.gif
Leg raise dragon flag,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/07/Leg-Raise-Dragon-Flag.gif
Ab coaster machine,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/07/Ab-Coaster-Machine.gif
Cross crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/07/Cross-Crunch.gif
Standing cable crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/09/Standing-Cable-Crunch.gif
Seated bench leg pull in,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Seated-Bench-Leg-Pull-in.gif
Cross body mountain climber,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/07/Cross-Body-Mountain-Climber.gif
Alternate leg raises,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/08/Alternate-Leg-Raises.gif
Crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2015/11/Crunch.gif
Mountain climber,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Mountain-climber.gif
Bicycle crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bicycle-Crunch.gif
Lying scissor kick,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Lying-Scissor-Kick.gif
Lying leg raise,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Lying-Leg-Raise.gif
Oblique floor crunches,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Oblique-Floor-Crunches.gif
T cross sit up,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/T-Cross-Sit-up.gif
Dead bug,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Dead-Bug.gif
Decline sit up,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Decline-Sit-up.gif
Reverse crunch 1,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Reverse-Crunch-1.gif
Kneeling cable crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Kneeling-Cable-Crunch.gif
Heel touch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Heel-Touch.gif
Standing rotation,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Standing-Rotation.gif
Standing toe touch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Standing-Toe-Touch.gif
Crunch with leg raise,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Crunch-With-Leg-Raise.gif
Alternate lying floor leg raise,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Alternate-Lying-Floor-Leg-Raise.gif
Weighted crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Weighted-Crunch.gif
Seated side crunches,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Seated-Side-Crunches.gif
Incline leg hip raise,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Incline-Leg-Hip-Raise.gif
Bodyweight windmill,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Bodyweight-Windmill.gif
Front to side plank,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Front-to-Side-Plank.gif
Tuck crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Tuck-Crunch.gif
Dumbbell side bend,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Dumbbell-Side-Bend.gif
Double leg stretch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Double-Leg-Stretch.gif
Spider plank,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Spider-Plank.gif
Captains chair leg raise,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Captains-Chair-Leg-Raise.gif
Bench side bend,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Bench-Side-Bend.gif
Crab twist toe touch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Crab-Twist-Toe-Touch.gif
Quarter sit up,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Quarter-Sit-up.gif
Weightedsitups,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/weightedsitups.gif
Lying knee raise,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Lying-Knee-Raise.gif
Floor crunch,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Floor-Crunch.gif
Reverse plank,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Reverse-plank.gif
Stability ball knee tuck,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/06/Stability-Ball-Knee-Tuck.gif
Hanging knee raises,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/02/Hanging-Knee-Raises.gif
Hanging side knee raises,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/10/Hanging-Side-Knee-Raises.gif
Hanging windshield wiper,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/01/Hanging-Windshield-Wiper.gif
Toes to bar,Abs,https://fitnessprogramer.com/wp-content/uploads/2022/01/Toes-to-Bar.gif
Weighted hanging knee raises,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/10/weighted-hanging-knee-raises.gif
